08.09.13	99,08 	99,02 	100,085 	99,99 
06.09.13	99,69 	98,601 	100,21 	99,08 
04.09.13	99,57 	99,21 	99,846 	99,73 
02.09.13	98,14 	98,14 	99,651 	99,578 
31.08.13	98,31 	97,90 	98,466 	98,14 
29.08.13	96,871 	96,871 	98,496 	98,31 
27.08.13	98,27 	96,84 	98,381 	96,84 
26.08.13	98,72 	98,19 	98,84 	98,253 
25.08.13	98,62 	98,126 	98,81 	98,707 
24.08.13	98,68 	98,62 	98,68 	98,62 
23.08.13	98,869 	98,40 	99,141 	98,68 
22.08.13	97,791 	97,75 	98,915 	98,875 
21.08.13	97,32 	97,13 	97,958 	97,78 
20.08.13	97,598 	96,91 	97,841 	97,323 
19.08.13	97,67 	97,34 	98,10 	97,60 
18.08.13	97,49 	97,45 	97,74 	97,67 
17.08.13	97,49 	97,49 	97,49 	97,49 
16.08.13	97,066 	97,066 	97,761 	97,49 
15.08.13	97,77 	97,06 	98,56 	97,06 
14.08.13	98,126 	97,772 	98,423 	97,81 
13.08.13	97,19 	97,14 	98,332 	98,17 
12.08.13	96,05 	95,999 	97,297 	97,192 
11.08.13	96,24 	95,937 	96,351 	96,07 
10.08.13	96,18 	96,18 	96,24 	96,24 
09.08.13	96,757 	96,129 	96,93 	96,18 
08.08.13	96,557 	95,825 	96,91 	96,74 
07.08.13	97,337 	96,31 	97,497 	96,56 
06.08.13	98,242 	97,17 	98,58 	97,27 
05.08.13	98,93 	98,188 	99,131 	98,237 
04.08.13	98,90 	98,84 	99,03 	98,94 
03.08.13	98,90 	98,90 	98,90 	98,90 
02.08.13	99,42 	98,678 	99,94 	98,90 
01.08.13	97,836 	97,64 	99,565 	99,42 
31.07.13	98,01 	97,59 	98,492 	97,84 
30.07.13	98,033 	97,76 	98,44 	97,997 
29.07.13	97,96 	97,64 	98,189 	98,06 
28.07.13	98,17 	97,823 	98,295 	97,956 
27.07.13	98,20 	98,17 	98,20 	98,17 
26.07.13	99,25 	97,962 	99,346 	98,20 
25.07.13	100,40 	98,894 	100,40 	99,269 
24.07.13	99,49 	99,449 	100,434 	100,41 
23.07.13	99,317 	99,223 	100,144 	99,505 
22.07.13	100,38 	99,277 	100,38 	99,32 
21.07.13	100,30 	100,19 	100,68 	100,38 
20.07.13	100,30 	100,30 	100,30 	100,30 
19.07.13	100,56 	99,852 	100,856 	100,30 
18.07.13	99,569 	99,48 	100,64 	100,566 
17.07.13	99,104 	99,07 	99,895 	99,56 
16.07.13	99,949 	98,89 	100,01 	99,095 
15.07.13	99,20 	99,094 	100,47 	99,943 
14.07.13	99,31 	99,157 	99,445 	99,206 
13.07.13	99,21 	99,21 	99,31 	99,31 
12.07.13	98,828 	98,72 	99,667 	99,21 
11.07.13	99,01 	98,265 	99,599 	98,829 
10.07.13	101,179 	98,423 	101,18 	99,035 
